,DATE,COUNTRY,PROVINCE,DISTRICT,MUNICIPALITY,TOWN,FEEDBACK CHANNEL,SEX,AGE RANGE,Other DIVERSITY factors,LANGUAGE,FEEDBACK COMMENT,TRANSLATED FEEDBACK COMMENT,NUMBER OF TIMES,FEEDBACK TYPE,CATEGORY,CODE,SENSITIVITY,CRITICALITY,OPERATION,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
134,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Male,Elderly_60_Years_And_Older,Ethnic_Minority,isiZulu,He is happy and eat everyday they call him when other departments are coming to give help,He is happy and eat everyday they call him when other departments are coming to give help,2,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Non-sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
135,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Male,Elderly_60_Years_And_Older,Ethnic_Minority,isiZulu,He needs emergency house repair since houses was washed away by floods,He needs emergency house repair since houses was washed away by floods,5,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
136,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Male,Elderly_60_Years_And_Older,Ethnic_Minority,isiZulu,Need safer houses with quality materials as they are scared of floods,Need safer houses with quality materials as they are scared of floods,6,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
137,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marianridge,Structured interview,Male,Adults_18_59_Years_Old,Physical_Disability,isiXhosa,Bring food that’s cooked and dish for us,Bring food that’s cooked and dish for us,30,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
138,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marianridge,Structured interview,Male,Adults_18_59_Years_Old,Physical_Disability,isiXhosa,My child is disabled,My child is disabled,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
139,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marianridge,Structured interview,Male,Adults_18_59_Years_Old,Physical_Disability,isiXhosa,We need hygiene packs for females,We need hygiene packs for females,5,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
140,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMarianridge,Field Monitoring,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,We truely great as we are able to get all essentials from the different organizations that come and assist,We truely great as we are able to get all essentials from the different organizations that come and assist,6,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
141,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMarianridge,Field Monitoring,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,"I have children  hence moved from my relatives to the hall in order to accommodate us all, I would really complain about staying in the hall just that it not nice staying with a a large number of people as I wasn't used to it and sometimes you made up in minor conflicts beacuase of snaps as we are all hurt and may not be in a good mood because of what the floods changed our lives badly","I have children  hence moved from my relatives to the hall in order to accommodate us all, I would really complain about staying in the hall just that it not nice staying with a a large number of people as I wasn't used to it and sometimes you made up in minor conflicts beacuase of snaps as we are all hurt and may not be in a good mood because of what the floods changed our lives badly",6,Observation_Perception_Or_Belief,Beliefs_related_to_safety_and_security,Beliefs related to safety and security,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
142,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMarianridge,Field Monitoring,Male,Youth_13_To_17_Years_Old,Ethnic_Minority,isiZulu,"Although we not in our own space, it okay where we placed as all essentials are provided by different stakeholders, organizations","Although we not in our own space, it okay where we placed as all essentials are provided by different stakeholders, organizations",8,Encouragement_Praise,Appreciation_of_activities_services,Appreciation of activities services,To_be_clarified,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
143,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMarianridge,Field Monitoring,Male,Youth_13_To_17_Years_Old,Ethnic_Minority,isiZulu,What exactly will we be assisted with as we are placed here as it not gonna be  forever especially as SCARS is conducting this feedback,What exactly will we be assisted with as we are placed here as it not gonna be  forever especially as SCARS is conducting this feedback,4,Questions,Questions_that_reveal_mistrust_or_suspicion_about_people_or_institutions,Questions that reveal mistrust or suspicion about people or institutions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
144,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Durban,Marianridge,Field Monitoring,Female,Elderly_60_Years_And_Older,Ethnic_Minority,isiZulu,When exactly are going to be taken out from the hall as it not nice staying  here anymore and there are lot of conflicts,When exactly are going to be taken out from the hall as it not nice staying  here anymore and there are lot of conflicts,4,Questions,Questions_about_scope_scale_of_disaster,Questions about the number of cases and geographic areas affected,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
